TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1611661320,2026,10,Tonie Morgan,Tonie,tonie-morgan,,G,,,"JUL 16, 2004",22.0,R,Kentucky,1643439,Signed on 07/16/26,1
1611661320,2026,10,Monique Akoa Makani,Monique,monique-akoa-makani,1,G,5-11,,"FEB 04, 2001",25.0,1,,1642777,Traded from PHX on 08/02/26,0
1611661320,2026,10,Chance Gray,Chance,chance-gray,2,G,5-9,,"JUL 06, 2004",22.0,R,Ohio State,1643462,#24 Pick in 2026 Draft,0
1611661320,2026,10,Dearica Hamby,Dearica,dearica-hamby,5,F,6-3,189,"NOV 06, 1993",32.0,11,Wake Forest,204324,Traded from LVA on 01/21/23,0
1611661320,2026,10,Jihyun Park,Jihyun,jihyun-park,6,G,6-1,,"APR 07, 2000",26.0,R,,1630148,Signed on 04/14/26,0
1611661320,2026,10,Ariel Atkins,Ariel,ariel-atkins,7,G,5-10,167,"JUL 30, 1996",30.0,8,Texas-Austin,1628878,Traded from CHI on 04/12/26,0
1611661320,2026,10,Rae Burrell,Rae,rae-burrell,12,G-F,6-2,168,"JUN 21, 2000",26.0,4,Tennessee,1630996,#9 Pick in 2022 Draft,0
1611661320,2026,10,Erica Wheeler,Erica,erica-wheeler,17,G,5-7,143,"MAY 02, 1991",35.0,10,Rutgers,204365,Signed on 04/11/26,0
1611661320,2026,10,Kate Martin,Kate,kate-martin,21,G,6-0,172,"JUN 05, 2000",26.0,2,Iowa,1642324,Signed on 05/09/26,0
1611661320,2026,10,Cameron Brink,Cameron,cameron-brink,22,F,6-4,170,"DEC 31, 2001",24.0,2,Stanford,1642287,#2 Pick in 2024 Draft,0
1611661320,2026,10,Kiana Williams,Kiana,kiana-williams,23,G,5-8,140,"APR 09, 1999",27.0,4,Stanford,1630461,Signed on 06/19/26,0
1611661320,2026,10,Nneka Ogwumike,Nneka,nneka-ogwumike,30,F,6-2,190,"JUL 02, 1990",36.0,14,Stanford,203014,Signed on 04/12/26,0
1611661320,2026,10,Emma Cannon,Emma,emma-cannon,32,F,6-2,190,"JUN 01, 1989",37.0,7,Florida Southern,1628242,Signed on 02/02/25,0
1611661320,2026,10,Alissa Pili,Alissa,alissa-pili,35,F,5-11,235,"JUN 08, 2001",25.0,2,Utah,1642293,Signed on 08/03/25,1
